ticker,company,category,role,industry_class,stage,revenue_purity,valuation_models,valuation_label,model_read,currency,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,fetch_error,source_url
6213.TW,聯茂,5. L3 先進封裝 / ABF / PCB / CCL,CCL,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,268.5,97590951936.0,65.80882,22.88464,26.383,2.8155603,4.6254826,0.206,0.13701999,0.10813,0.042930003,,https://finance.yahoo.com/quote/6213.TW
TTMI,TTM Technologies,5. L3 先進封裝 / ABF / PCB / CCL,PCB / aerospace and data center exposure,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,USD,173.72,18040832000.0,94.41304,32.17037,42.551,5.812773,10.190649,0.304,0.21004,0.14141,0.06291,,https://finance.yahoo.com/quote/TTMI
ROG,Rogers,5. L3 先進封裝 / ABF / PCB / CCL,High-performance materials,封測 / 代工 / 資本密集,轉機 / 虧轉盈,中,"EV/EBITDA, utilization scenario",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,USD,141.52,2525924864.0,,32.409134,19.982,3.0773938,2.1067674,0.052,0.32212,0.14388,-0.0681,,https://finance.yahoo.com/quote/ROG
DELL,Dell,6. L2/L3 AI Server / ODM / Rack,AI server / enterprise infrastructure,ODM / EMS / 低毛利代工,已獲利成長,中高,"EV/EBITDA, EV/EBIT, FCF conversion",偏熱,EV/EBITDA 偏高，需要訂單與現金轉換支持,USD,420.91,273409769472.0,48.547867,21.199621,21.033,2.040341,-111.116684,0.875,0.19173999,0.103870004,0.062750004,,https://finance.yahoo.com/quote/DELL
HPE,HPE,6. L2/L3 AI Server / ODM / Rack,AI server / HPC / networking,ODM / EMS / 低毛利代工,轉機 / 虧轉盈,中,"EV/EBITDA, EV/EBIT, FCF conversion",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,USD,43.04,57107804160.0,,15.752412,15.13,1.597734,2.3087652,0.184,0.32071,0.13681,-0.0033000002,,https://finance.yahoo.com/quote/HPE
SMCI,Super Micro,6. L2/L3 AI Server / ODM / Rack,AI server / rack-scale systems,ODM / EMS / 低毛利代工,已獲利成長,高,"EV/EBITDA, EV/EBIT, FCF conversion",偏熱,EV/EBITDA 偏高，需要訂單與現金轉換支持,USD,46.09,27719378944.0,24.257895,14.313531,22.529,0.8225285,3.6588075,1.227,0.08394,0.04684,0.03701,,https://finance.yahoo.com/quote/SMCI
2382.TW,廣達,6. L2/L3 AI Server / ODM / Rack,AI server ODM,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,339.0,1306681671680.0,17.917547,12.006818,15.963,0.53394127,6.2978377,0.666,0.060700003,0.03948,0.03133,,https://finance.yahoo.com/quote/2382.TW
3231.TW,緯創,6. L2/L3 AI Server / ODM / Rack,AI server ODM,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,158.5,504095277056.0,18.86905,9.07874,9.052,0.18765129,2.6505904,1.443,0.056220002,0.03877,0.0117999995,,https://finance.yahoo.com/quote/3231.TW
2356.TW,英業達,6. L2/L3 AI Server / ODM / Rack,Server ODM,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,70.2,251840724992.0,29.128628,20.290306,17.62,0.34288934,3.4287386,0.276,0.051030003,0.02276,0.01283,,https://finance.yahoo.com/quote/2356.TW
2317.TW,鴻海,6. L2/L3 AI Server / ODM / Rack,AI server / rack / electronics manufacturing,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,289.0,4046554923008.0,21.55108,13.462618,10.668,0.47171867,2.2772942,0.289,0.06162,0.04381,0.02298,,https://finance.yahoo.com/quote/2317.TW
6669.TW,緯穎,6. L2/L3 AI Server / ODM / Rack,Cloud server / AI server,ODM / EMS / 低毛利代工,已獲利成長,高,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,5445.0,1011903037440.0,20.491495,11.923485,14.66,0.95777375,7.219408,0.62,0.07997,0.06765,0.052470002,,https://finance.yahoo.com/quote/6669.TW
2376.TW,技嘉,6. L2/L3 AI Server / ODM / Rack,AI server / workstation,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,370.0,247858888704.0,21.549213,11.992099,13.215,0.65876716,3.8387716,0.598,0.104499996,0.055069998,0.03812,,https://finance.yahoo.com/quote/2376.TW
2357.TW,華碩,6. L2/L3 AI Server / ODM / Rack,Server / workstation,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,TWD,761.0,565240528896.0,12.787767,13.4128475,13.931,0.7069207,1.9702368,0.411,0.14756,0.051459998,0.05198,,https://finance.yahoo.com/quote/2357.TW
0992.HK,Lenovo,6. L2/L3 AI Server / ODM / Rack,Server / enterprise infrastructure,ODM / EMS / 低毛利代工,已獲利成長,中,"EV/EBITDA, EV/EBIT, FCF conversion",過熱,低毛利代工不宜承受高 PS，pass-through revenue 折價不足,HKD,24.0,297711828992.0,22.018349,13.929669,68.77,3.5836704,5.36524,0.271,0.15419,0.05237,0.02301,,https://finance.yahoo.com/quote/0992.HK
6702.T,Fujitsu,6. L2/L3 AI Server / ODM / Rack,Server / IT infrastructure,ODM / EMS / 低毛利代工,成熟複利,中,"EV/EBITDA, EV/EBIT, FCF conversion",合理反映,低毛利模式估值尚未明顯脫離 earnings / EBITDA 基礎,JPY,3368.0,5842733105152.0,19.492996,22.201714,11.327,1.6679364,2.885422,,0.35595,0.13975,0.12829,,https://finance.yahoo.com/quote/6702.T
ANET,Arista,7. L2/L3 Networking / 光通訊,Data center switching / AI Ethernet,零組件 / 連接器 / 電源 / 散熱,已獲利成長,高,"Forward PE, EV/EBITDA",過熱,PS > 20x，元件/光通訊估值已高度反映 AI 需求,USD,159.47,200799748096.0,54.989655,35.83974,44.476,20.6799,14.888432,0.351,0.63537,0.43638,0.38317,,https://finance.yahoo.com/quote/ANET
CSCO,Cisco,7. L2/L3 Networking / 光通訊,Networking / optics / enterprise data center,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,120.42,474627538944.0,40.14,25.232481,28.87,7.8133135,9.739566,0.12,0.64296997,0.27997,0.19685,,https://finance.yahoo.com/quote/CSCO
NOK,Nokia,7. L2/L3 Networking / 光通訊,Optical / IP networking,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",偏熱,估值已反映 AI data center 需求擴張,USD,14.84,82844811264.0,92.75,30.42979,31.763,4.1430693,3.3743234,0.024,0.45359,0.12687999,0.039809998,,https://finance.yahoo.com/quote/NOK
CIEN,Ciena,7. L2/L3 Networking / 光通訊,Optical networking,零組件 / 連接器 / 電源 / 散熱,已獲利成長,中,"Forward PE, EV/EBITDA",過熱,EV/EBITDA > 80x，需訂單、毛利與現金流快速追上估值,USD,580.23,82043609088.0,369.5732,66.35059,144.315,16.01073,29.392128,0.331,0.42125,0.11133,0.044699997,,https://finance.yahoo.com/quote/CIEN
COHR,Coherent,7. L2/L3 Networking / 光通訊,Optical components / transceivers,零組件 / 連接器 / 電源 / 散熱,成熟複利,高,"Forward PE, EV/EBITDA",過熱,PE > 38x，若訂單或 margin 放緩容易壓縮,USD,361.47,70717751296.0,172.12859,44.64974,54.85,10.711429,6.6202083,0.205,0.36990002,0.19899,0.07102,,https://finance.yahoo.com/quote/COHR
LITE,Lumentum,7. L2/L3 Networking / 光通訊,Optical components,零組件 / 連接器 / 電源 / 散熱,已獲利成長,中,"Forward PE, EV/EBITDA",過熱,EV/EBITDA > 80x，需訂單、毛利與現金流快速追上估值,USD,854.96,66515890176.0,151.58865,47.233612,120.759,26.730387,72.10593,0.901,0.40837002,0.20447001,0.17678,,https://finance.yahoo.com/quote/LITE
FN,Fabrinet,7. L2/L3 Networking / 光通訊,Optical manufacturing,零組件 / 連接器 / 電源 / 散熱,已獲利成長,中,"Forward PE, EV/EBITDA",偏熱,估值已反映 AI data center 需求擴張,USD,654.16,23438381056.0,56.19931,37.88316,46.898,5.5344453,10.169607,0.393,0.12037,0.11327,0.0994,,https://finance.yahoo.com/quote/FN
AAOI,Applied Optoelectronics,7. L2/L3 Networking / 光通訊,Optical transceivers,零組件 / 連接器 / 電源 / 散熱,轉機 / 虧轉盈,中,"Forward PE, EV/EBITDA",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,USD,158.41,12711257088.0,,33.19573,-457.167,25.071512,11.310961,0.514,0.29642,-0.05415,-0.085480005,,https://finance.yahoo.com/quote/AAOI
VIAV,Viavi,7. L2/L3 Networking / 光通訊,Optical test and measurement,零組件 / 連接器 / 電源 / 散熱,轉機 / 虧轉盈,中,"Forward PE, EV/EBITDA",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,USD,48.56,11979055104.0,,37.929203,54.894,8.771367,13.418072,0.428,0.60357,0.15999,-0.040349998,,https://finance.yahoo.com/quote/VIAV
MTSI,MACOM,7. L2/L3 Networking / 光通訊,RF / optical / high-speed components,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",過熱,EV/EBITDA > 80x，需訂單、毛利與現金流快速追上估值,USD,364.64,27820492800.0,156.49786,53.27209,117.32,25.908062,20.213982,0.225,0.55684,0.21884,0.16459998,,https://finance.yahoo.com/quote/MTSI
VRT,Vertiv,8. L4 Data Center 電力 / 散熱 / 配電,UPS、PDU、thermal、liquid cooling,零組件 / 連接器 / 電源 / 散熱,已獲利成長,高,"Forward PE, EV/EBITDA",偏熱,估值已反映 AI data center 需求擴張,USD,315.71,121266987008.0,79.32412,35.726772,51.209,11.183483,30.642529,0.301,0.37151,0.21977,0.14372,,https://finance.yahoo.com/quote/VRT
ETN,Eaton,8. L4 Data Center 電力 / 散熱 / 配電,Switchgear、UPS、transformer、power management,零組件 / 連接器 / 電源 / 散熱,成熟複利,中高,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,400.6,155552989184.0,39.19765,25.480738,27.854,5.4537897,7.8876905,0.168,0.37105,0.22239,0.13986,,https://finance.yahoo.com/quote/ETN
SU.PA,Schneider Electric,8. L4 Data Center 電力 / 散熱 / 配電,Power distribution、UPS、cooling、DCIM,零組件 / 連接器 / 電源 / 散熱,成熟複利,中高,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,EUR,269.95,151887183872.0,33.91332,23.566809,21.105,3.782805,6.2717814,0.042,0.42078,0.19742,0.10368,,https://finance.yahoo.com/quote/SU.PA
ABBN.SW,ABB,8. L4 Data Center 電力 / 散熱 / 配電,Electrification、automation、switchgear,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",偏熱,估值已反映 AI data center 需求擴張,CHF,83.62,151791108096.0,39.81905,31.367922,22.2,4.390579,13.043837,0.183,0.40374002,0.20277001,0.14335,,https://finance.yahoo.com/quote/ABBN.SW
SIE.DE,Siemens,8. L4 Data Center 電力 / 散熱 / 配電,Electrification、automation、grid equipment,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,EUR,269.8,205788151808.0,27.929605,21.204773,22.1,2.5820668,3.214277,-0.0,0.38845003,0.14861,0.09688,,https://finance.yahoo.com/quote/SIE.DE
GEV,GE Vernova,8. L4 Data Center 電力 / 散熱 / 配電,Grid、gas power、electrification,零組件 / 連接器 / 電源 / 散熱,成熟複利,中高,"Forward PE, EV/EBITDA",過熱,PE > 38x，若訂單或 margin 放緩容易壓縮,USD,968.32,260206952448.0,28.330017,39.504578,74.768,6.6084304,18.69019,0.163,0.20282,0.08673,0.23809999,,https://finance.yahoo.com/quote/GEV
HUBB,Hubbell,8. L4 Data Center 電力 / 散熱 / 配電,Electrical products、utility components,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,473.61,25026392064.0,28.007687,21.751919,18.585,4.173778,6.6407266,0.111,0.35685003,0.24461001,0.15105,,https://finance.yahoo.com/quote/HUBB
LR.PA,Legrand,8. L4 Data Center 電力 / 散熱 / 配電,Electrical / digital infrastructure,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,EUR,147.65,38594990080.0,30.380657,22.878525,20.122,3.962362,4.9881754,0.114,0.50374,0.22087999,0.13205,,https://finance.yahoo.com/quote/LR.PA
RRX,Regal Rexnord,8. L4 Data Center 電力 / 散熱 / 配電,Motors、power transmission、thermal components,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",未充分反映,估值低且成長仍正，可能未完全反映 AI 需求,USD,201.76,13431076864.0,46.920925,14.918905,14.914,2.240193,1.9744388,0.043,0.37568,0.2002,0.04779,,https://finance.yahoo.com/quote/RRX
ATKR,Atkore,8. L4 Data Center 電力 / 散熱 / 配電,Electrical conduit / cable management,零組件 / 連接器 / 電源 / 散熱,轉機 / 虧轉盈,中,"Forward PE, EV/EBITDA",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,USD,82.81,2796267008.0,,13.457601,11.433,0.97295946,2.1830597,0.042,0.20871,0.0996,-0.041929998,,https://finance.yahoo.com/quote/ATKR
WCC,WESCO,8. L4 Data Center 電力 / 散熱 / 配電,Electrical distribution,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,361.17,17590747136.0,25.70605,19.200855,15.501,0.7254724,3.492704,0.138,0.21191,0.06226,0.02786,,https://finance.yahoo.com/quote/WCC
EMR,Emerson,8. L4 Data Center 電力 / 散熱 / 配電,Automation、thermal / infrastructure systems,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,143.82,80553582592.0,33.36891,20.102428,15.802,4.39799,3.967558,0.029,0.52669996,0.32076,0.13354,,https://finance.yahoo.com/quote/EMR
ROK,Rockwell Automation,8. L4 Data Center 電力 / 散熱 / 配電,Industrial automation,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",偏熱,估值已反映 AI data center 需求擴張,USD,451.06,50191228928.0,46.936527,31.080856,27.362,5.700958,14.2506,0.119,0.48921,0.22365,0.12358,,https://finance.yahoo.com/quote/ROK
PH,Parker-Hannifin,8. L4 Data Center 電力 / 散熱 / 配電,Motion control、fluid connectors、thermal components,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,844.63,106496352256.0,31.155663,24.821735,21.101,5.074396,7.2897773,0.106,0.37442002,0.26107,0.16582,,https://finance.yahoo.com/quote/PH
HON,Honeywell,8. L4 Data Center 電力 / 散熱 / 配電,Building automation、control systems,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,237.86,150720724992.0,37.996803,20.762157,20.779,4.0021434,11.090595,0.024,0.36925,0.22639,0.1089,,https://finance.yahoo.com/quote/HON
JCI,Johnson Controls,8. L4 Data Center 電力 / 散熱 / 配電,Building systems / HVAC,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,134.06,81792090112.0,40.99694,23.547224,20.982,3.3476074,6.050731,0.082,0.36561,0.17681,0.14452,,https://finance.yahoo.com/quote/JCI
TT,Trane Technologies,8. L4 Data Center 電力 / 散熱 / 配電,Cooling / HVAC,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,451.3,99762331648.0,34.4767,26.508745,24.407,4.6180277,11.65036,0.06,0.35924998,0.19597,0.13415,,https://finance.yahoo.com/quote/TT
CARR,Carrier,8. L4 Data Center 電力 / 散熱 / 配電,Cooling / HVAC,零組件 / 連接器 / 電源 / 散熱,成熟複利,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,63.87,53049171968.0,42.579998,19.952703,20.567,2.4256594,3.947466,0.024,0.25180998,0.14362,0.059899997,,https://finance.yahoo.com/quote/CARR
MOD,Modine,8. L4 Data Center 電力 / 散熱 / 配電,Thermal management,零組件 / 連接器 / 電源 / 散熱,已獲利成長,中,"Forward PE, EV/EBITDA",合理反映,估值與工業/元件成長股區間大致相符,USD,278.91,14730850304.0,123.41151,24.376793,33.993,4.630741,13.127647,0.475,0.23023,0.14099,0.03819,,https://finance.yahoo.com/quote/MOD
AAON,AAON,8. L4 Data Center 電力 / 散熱 / 配電,HVAC / precision cooling exposure,零組件 / 連接器 / 電源 / 散熱,已獲利成長,中,"Forward PE, EV/EBITDA",過熱,PE > 38x，若訂單或 margin 放緩容易壓縮,USD,140.2,11484021760.0,98.7324,42.58809,47.51,7.102239,12.284237,0.543,0.26242,0.15526,0.07305,,https://finance.yahoo.com/quote/AAON
PWR,Quanta Services,9. L4 EPC / 建設 / 機電工程,Grid construction、substation、utility EPC,成熟複利 / 工程服務,已獲利成長,中,"PE, EV/EBITDA, backlog support",過熱,PE > 60x，需要高成長兌現,USD,711.73,106802307072.0,98.03443,43.283466,42.441,3.545758,11.808243,0.263,0.15100001,0.08828,0.036679998,,https://finance.yahoo.com/quote/PWR
MTZ,MasTec,9. L4 EPC / 建設 / 機電工程,Infrastructure construction,成熟複利 / 工程服務,已獲利成長,中,"PE, EV/EBITDA, backlog support",過熱,PE > 60x，需要高成長兌現,USD,378.37,29898252288.0,66.26445,32.280796,26.928,1.9566594,8.916671,0.345,0.12824,0.07869,0.02945,,https://finance.yahoo.com/quote/MTZ
DY,Dycom,9. L4 EPC / 建設 / 機電工程,Telecom / infrastructure services,成熟複利 / 工程服務,已獲利成長,中,"PE, EV/EBITDA, backlog support",合理反映,以可得倍數未見明顯過熱，但需補 forward estimates,USD,510.0,15316042752.0,48.75717,26.031883,21.533,2.4497492,8.063496,0.561,0.20462999,0.13196999,0.04981,,https://finance.yahoo.com/quote/DY
ACM,AECOM,9. L4 EPC / 建設 / 機電工程,Engineering / infrastructure design,成熟複利 / 工程服務,成熟複利,中,"PE, EV/EBITDA, backlog support",合理反映,以可得倍數未見明顯過熱，但需補 forward estimates,USD,69.37,8915635200.0,14.482255,10.323362,8.946,0.557721,3.916775,0.008,0.077259995,0.07988,0.03164,,https://finance.yahoo.com/quote/ACM
FIX,Comfort Systems USA,9. L4 EPC / 建設 / 機電工程,Mechanical / electrical contracting,成熟複利 / 工程服務,成熟複利,中,"PE, EV/EBITDA, backlog support",合理反映,以可得倍數未見明顯過熱，但需補 forward estimates,USD,1828.21,64323682304.0,52.914906,34.367683,38.456,6.3462577,99.60284,0.01,0.25128,0.1713,0.12073,,https://finance.yahoo.com/quote/FIX
GVA,Granite Construction,9. L4 EPC / 建設 / 機電工程,Infrastructure construction,成熟複利 / 工程服務,已獲利成長,中,"PE, EV/EBITDA, backlog support",合理反映,以可得倍數未見明顯過熱，但需補 forward estimates,USD,136.84,5986298368.0,37.286102,18.066332,15.371,1.2909025,5.800025,0.304,0.15899,0.09806,0.039890002,,https://finance.yahoo.com/quote/GVA
FLR,Fluor,9. L4 EPC / 建設 / 機電工程,EPC / industrial projects,成熟複利 / 工程服務,成熟複利,中,"PE, EV/EBITDA, backlog support",合理反映,以可得倍數未見明顯過熱，但需補 forward estimates,USD,45.76,6391293952.0,20.894976,13.874697,-10.961,0.42092294,2.2555203,-0.08,-0.01627,-0.02325,0.02305,,https://finance.yahoo.com/quote/FLR
J,Jacobs,9. L4 EPC / 建設 / 機電工程,Engineering / program management,成熟複利 / 工程服務,已獲利成長,中,"PE, EV/EBITDA, backlog support",合理反映,以可得倍數未見明顯過熱，但需補 forward estimates,USD,119.86,14153174016.0,35.35693,14.486729,16.908,1.0742794,4.302225,0.27,0.2342,0.077800006,0.028959999,,https://finance.yahoo.com/quote/J
CAT,Caterpillar,10. L5 備援電力 / 微電網 / 燃料電池,Backup generators、engines,資本設備 / 轉機或成長,成熟複利,中,"PE, EV/EBITDA, margin repair",偏熱,估值已反映 AI data center 需求擴張,USD,875.87,403418677248.0,43.662514,29.378874,30.446,5.7016277,21.620546,0.222,0.28601998,0.20573999,0.13328,,https://finance.yahoo.com/quote/CAT
CMI,Cummins,10. L5 備援電力 / 微電網 / 燃料電池,Generators、engines、power systems,資本設備 / 轉機或成長,成熟複利,中,"PE, EV/EBITDA, margin repair",合理反映,估值與工業/元件成長股區間大致相符,USD,646.63,89227870208.0,33.556305,19.366163,19.046,2.6325564,7.224351,0.027,0.25847998,0.14764,0.07886,,https://finance.yahoo.com/quote/CMI
GNRC,Generac,10. L5 備援電力 / 微電網 / 燃料電池,Backup power / distributed energy,資本設備 / 轉機或成長,成熟複利,中,"PE, EV/EBITDA, margin repair",合理反映,估值與工業/元件成長股區間大致相符,USD,277.91,16360195072.0,86.84688,25.050253,33.153,3.781488,6.1048265,0.124,0.38138,0.121929996,0.04368,,https://finance.yahoo.com/quote/GNRC
BE,Bloom Energy,10. L5 備援電力 / 微電網 / 燃料電池,Fuel cells / onsite power,資本設備 / 轉機或成長,已獲利成長,中,"PE, EV/EBITDA, margin repair",過熱,EV/EBITDA > 80x，需訂單、毛利與現金流快速追上估值,USD,285.0,81066500096.0,,65.50971,352.15,33.101513,87.9087,1.304,0.3009,0.094560005,0.00246,,https://finance.yahoo.com/quote/BE
FCEL,FuelCell Energy,10. L5 備援電力 / 微電網 / 燃料電池,Fuel cell systems,資本設備 / 轉機或成長,轉機 / 虧轉盈,中,"PE, EV/EBITDA, margin repair",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,USD,21.66,1147500544.0,,-11.868493,-14.002,6.7620955,1.6383027,0.607,-0.15946999,-0.44334,-1.07506,,https://finance.yahoo.com/quote/FCEL
PLUG,Plug Power,10. L5 備援電力 / 微電網 / 燃料電池,Hydrogen / fuel cell infrastructure,資本設備 / 轉機或成長,轉機 / 虧轉盈,中,"PE, EV/EBITDA, margin repair",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,USD,3.95,5510522880.0,,-24.042852,-10.273,7.4490886,7.3420076,0.223,-0.31239,-0.82999,-2.2713401,,https://finance.yahoo.com/quote/PLUG
BLDP,Ballard Power,10. L5 備援電力 / 微電網 / 燃料電池,Fuel cell systems,資本設備 / 轉機或成長,轉機 / 虧轉盈,中,"PE, EV/EBITDA, margin repair",過熱,虧損且 PS > 10x，估值仰賴明確轉盈路徑,USD,6.29,1896283008.0,,-40.460567,-21.63,18.33894,3.2811685,0.262,0.11444,-0.62432,-0.78596,,https://finance.yahoo.com/quote/BLDP
NEE,NextEra Energy,11. L5 電力供應 / 公用事業 / 核能,Renewable / utility / grid-scale power,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,87.01,181468528640.0,22.083757,19.784397,20.853,6.5121846,3.285752,0.073,0.61401004,0.50811,0.29369,,https://finance.yahoo.com/quote/NEE
CEG,Constellation Energy,11. L5 電力供應 / 公用事業 / 核能,Nuclear power / clean firm power,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,287.75,103932436480.0,25.0,21.120787,15.819,3.479842,3.1140764,0.638,0.23263,0.26641,0.12693,,https://finance.yahoo.com/quote/CEG
VST,Vistra,11. L5 電力供應 / 公用事業 / 核能,Independent power producer,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",未充分反映,公用事業估值偏低，若負載成長兌現有重評空間,USD,160.23,54026743808.0,26.794313,14.623195,11.161,2.7784388,20.66684,0.434,0.38637,0.34919,0.11525,,https://finance.yahoo.com/quote/VST
NRG,NRG Energy,11. L5 電力供應 / 公用事業 / 核能,Power generation / retail energy,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",未充分反映,公用事業估值偏低，若負載成長兌現有重評空間,USD,134.08,28289064960.0,147.34065,11.522652,23.082,0.87355065,24.756279,0.195,0.16445999,0.06973,0.00738,,https://finance.yahoo.com/quote/NRG
DUK,Duke Energy,11. L5 電力供應 / 公用事業 / 核能,Regulated utility,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,122.73,95679848448.0,18.881538,17.121048,11.394,2.9242902,1.7852675,0.113,0.5105,0.50361997,0.15706,,https://finance.yahoo.com/quote/DUK
SO,Southern Company,11. L5 電力供應 / 公用事業 / 核能,Regulated utility / power generation,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,92.05,103768072192.0,23.5422,18.720613,12.994,3.4388757,2.7953234,0.08,0.48002997,0.46310002,0.14458999,,https://finance.yahoo.com/quote/SO
AEP,American Electric Power,11. L5 電力供應 / 公用事業 / 核能,Transmission / utility,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,126.67,68921786368.0,18.738165,18.478428,13.279,3.0723393,2.1662989,0.102,0.47243,0.40748,0.16289,,https://finance.yahoo.com/quote/AEP
EXC,Exelon,11. L5 電力供應 / 公用事業 / 核能,Utility / transmission,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",未充分反映,公用事業估值偏低，若負載成長兌現有重評空間,USD,45.64,46699216896.0,16.717949,15.02586,11.787,1.8840965,1.5930192,0.079,0.42641,0.33280998,0.11212,,https://finance.yahoo.com/quote/EXC
PEG,PSEG,11. L5 電力供應 / 公用事業 / 核能,Utility / power,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,78.65,39192981504.0,17.400442,16.744766,13.178,3.0633876,2.2636352,0.194,0.3536,0.37479,0.17688,,https://finance.yahoo.com/quote/PEG
SRE,Sempra,11. L5 電力供應 / 公用事業 / 核能,Utility / LNG / grid,公用事業 / 資本密集,成熟複利,低到中,"PE, dividend yield, EV/EBITDA",合理反映,估值接近成熟公用事業合理區間,USD,89.13,58263392256.0,30.316324,16.097048,18.578,4.298295,1.8414147,-0.039,0.42457,0.41452998,0.1443,,https://finance.yahoo.com/quote/SRE
OKLO,Oklo,11. L5 電力供應 / 公用事業 / 核能,Advanced nuclear,公用事業 / 資本密集,轉機 / 虧轉盈,低到中,"PE, dividend yield, EV/EBITDA",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,USD,66.88,11636516864.0,,-79.71204,-54.794,,4.406958,,0.0,0.0,0.0,,https://finance.yahoo.com/quote/OKLO
